Class,Type,Name,Silhouette,Speed,Handling,Model,Manufacturer,Navicomputer/DroidSocket,Crew,Encumbrance,Legality,Passengers,Price,Rarity,Hardpoints,Weapons Count,Index
Starships,Starfighter,"TIE/D ""Defender"" Multi-Role Starfighter",3,4,2,TIE Series,Sienar Fleet Systems,Navicomputer,1,5,Restricted,0,300000,8,0,3,AoR-CRB: 271
Starships,Starfighter,"TIE/PH ""Phantom"" Multi-role Stealth Starfighter",3,5,2,TIE-series,Sienar Fleet Systems,Navicomputer,2,8,Restricted,0,365000,9,0,1,SoT: 60 // SoR: 127
Starships,Starliner,Indulgent-Class Luxury Starliner,7,1,-1,Indulgent-class,Leonore Luxury Liners Incorporated,Navicomputer,850,3200,Nonrestricted,1500,25500000,7,1,4,FH: 59
Starships,S-Type Racing Sloop,Consular-Class Light Assault Cruiser,5,3,-2,Consular,Corellian Engineering Corporation,Navicomputer,9,3200,Nonrestricted,16,3400000,5,4,5,AoR-CRB: 276
Starships,S-Type Racing Sloop,Renegade's Blood,5,4,0,Consular,Corellian Engineering Corporation,Navicomputer,9,3200,Nonrestricted,16,3400000,5,3,7,MPQ: 82
Starships,S-Type Racing Sloop,MC40a Light Cruiser,6,2,-1,MC40a,Mon Calamari Shipyards,Navicomputer,3770,5000,Restricted,650,15500000,6,4,40,SoR: 119
Starships,Transport,Space Master Medium Transport,5,2,-4,Space Master,Kuat Drive Yards,Navicomputer,9,800,Nonrestricted,0,150000,4,2,2,EotE-CRB: 262
Starships,Transport,GR-75 Medium Transport,5,3,-3,GR-75,Gallofree Yards Inc.,Navicomputer,7,1000,Nonrestricted,100,180000,4,2,0,EotE-CRB: 261
Starships,Transport,Action VI Bulk Transport,5,2,-3,Action VI,Corellian Engineering Corporation,Navicomputer,20,10000,Nonrestricted,5,200000,5,4,0,EotE-CRB: 260*
Starships,Transport,Xiytiar-Class Heavy Transport,5,2,-3,Xiytiar,TransGalMeg Industries,Navicomputer,10,2000,Nonrestricted,12,200000,5,4,0,EtU: 63
Starships,Transport,Y164 Slave Transport,5,3,-2,Y164,Rendili StarDrive,Navicomputer,15,120,Nonrestricted,1200,245000,6,3,2,LoNH: 115
Starships,Transport,Mobquet Medium Transport,5,1,-4,MMT,Mobquet Swoops and Speeders,Navicomputer,4,5000,Nonrestricted,90,275000,5,5,2,FC: 57
Starships,Transport,CSS-1 Corellian Star Shuttle,5,3,-2,CCS-8,Corellian Engineering Corporation,Navicomputer,8,1000,Nonrestricted,200,325000,6,4,0,SoF: 110
Starships,Transport,YZ-775 Medium Transport,5,2,-3,YZ-775,Corellian Engineering Corporation,Navicomputer,8,850,Nonrestricted,0,500000,3,2,5,DC: 68
Starships,Transport,Ubrikkian Industries Seltiss-2 Caravel,4,3,-1,Seltiss-2,Ubrikkian Industries,None,8,200,Nonrestricted,12,550000,6,4,2,LoNH: 115
Starships,Transport,Armos Modular Transport,6,2,-2,Armos,SoroSuub,Navicomputer,150,10000,Nonrestricted,1000,780000,8,4,0,FH: 59
Starships,Transport,Star Galleon Armed Transport,6,1,-2,Star Galleon,Kuat Drive Yards,Navicomputer,150,10000,Restricted,300,1500000,7,2,11,AoR-CRB: 442 // EotE-CRB: 265
Starships,Yacht,CEC WUD-500 Star Yacht,4,4,-1,WUD-500,Corellian Engineering Corporation,Navicomputer,2,65,Nonrestricted,6,98500,6,5,2,FC: 55
Starships,Yacht,SoroSuub Luxury 3000 Space Yacht,4,3,0,Luxury 3000,SoroSuub Corporation,Navicomputer,2,100,Nonrestricted,10,120000,6,4,0,EotE-CRB: 262
Starships,Yacht,The Venture,4,3,2,Courier-class,Nubia Star Drives Inc.,Navicomputer,19,50,Nonrestricted,25,185000,5,3,3,JoY: 91
Starships,Yacht,Luxurious-class Yacht,4,4,1,Luxurious-class,Ghtroc Industries,Navicomputer,3,80,Nonrestricted,12,210000,6,4,0,FH: 58
Starships,Yacht,Baudo-Class Star Yacht,4,4,1,Baudo,Mendel Baudo Shipyards,Navicomputer,2,60,Nonrestricted,8,250000,9,6,1,DA: 60
Starships,Yacht,Baudo-class Star Yacht,4,4,1,Baudo-class,Mendel Baudo Shipyards,Navicomputer,2,60,Nonrestricted,8,250000,9,6,1,FC: 57
Starships,Yacht,J-Type Star Skiff,4,4,-1,J-Type Star Skiff,Nubia Star Drives Inc.,Navicomputer,3,90,Nonrestricted,3,260000,7,0,2,SoF: 111
Starships,Yacht,Ubrikkian Industries Modified Minstrel-Class Space Yacht,5,3,-1,Minstrel-Class Space Yacht,Ubrikkian Industries,Navicomputer,37,800,Nonrestricted,75,1750000,7,3,12,LoNH: 116
